animal sire dam gen f sex feed tbv y
80 0 0 0 0 2 0 13.171776281296 0
81 0 0 0 0 2 0 -8.81700600627317 0
82 0 0 0 0 2 0 -9.09113485316056 0
83 0 0 0 0 2 0 7.24794554359864 0
84 0 0 0 0 2 0 -4.08078620262554 0
85 0 0 0 0 2 0 -43.8784341392003 0
86 0 0 0 0 2 0 8.60320257360165 0
87 0 0 0 0 2 0 9.78351232369072 0
88 0 0 0 0 2 0 -17.41057339087 0
89 0 0 0 0 2 0 -0.105852261821464 0
90 0 0 0 0 2 0 6.75117345051665 0
91 0 0 0 0 2 0 -1.86013564349097 0
92 0 0 0 0 2 0 6.01164455256471 0
93 0 0 0 0 2 0 11.7169165238471 0
94 0 0 0 0 2 0 -0.951476412124478 0
95 0 0 0 0 2 0 11.3837342589024 0
96 0 0 0 0 2 0 -16.9997001024864 0
97 0 0 0 0 2 0 15.661063076133 0
98 0 0 0 0 2 0 -36.6759949505657 0
99 0 0 0 0 2 0 -36.1222754608316 0
100 0 0 0 0 2 0 21.7877135040879 0
101 0 0 0 0 2 0 -0.439457660651655 0
102 0 0 0 0 2 0 27.6149566395703 0
103 0 0 0 0 2 0 -6.1065457541996 0
104 0 0 0 0 2 0 -26.0462592489511 0
105 0 0 0 0 2 0 17.1809768275276 0
106 0 0 0 0 2 0 -15.0918484099753 0
107 0 0 0 0 2 0 -9.57717419998633 0
108 0 0 0 0 2 0 -0.308036570478527 0
109 0 0 0 0 2 0 14.0164433916672 0
110 0 0 0 0 2 0 13.6857309629704 0
111 0 0 0 0 2 0 -9.86730636555949 0
112 0 0 0 0 2 0 42.3171972250724 0
113 0 0 0 0 2 0 -15.3379842867106 0
114 0 0 0 0 2 0 -12.0356961934771 0
115 0 0 0 0 2 0 -14.0629900040822 0
116 0 0 0 0 2 0 0.528505417342339 0
117 0 0 0 0 2 0 14.0299129248916 0
118 0 0 0 0 2 0 1.32226025472114 0
119 0 0 0 0 2 0 10.3083570350009 0
120 0 0 0 0 2 0 18.6448833037997 0
121 2 78 1 0 2 12.5 -15.3478128175095 371.171927188336
122 8 68 1 0 2 17.5 -10.8198393858868 360.227127192647
123 14 75 1 0 2 15 -27.792143499578 355.466028607811
124 9 56 1 0 1 17.5 18.3532637310014 408.696847030699
125 5 29 1 0 2 22.5 -3.74080622236457 365.460953664382
126 18 36 1 0 1 22.5 2.91914867374315 447.459199713141
127 9 67 1 0 1 15 -3.31052212045374 444.535613531354
128 11 21 1 0 2 10 4.73448745103876 403.07115018613
129 3 37 1 0 2 12.5 25.6743304226691 400.939760545052
130 10 84 1 0 2 17.5 1.6305728064965 363.668236098542
131 5 108 1 0 2 10 12.1034023583034 362.247549868804
132 5 46 1 0 1 10 18.6512332638934 446.169798755407
133 13 44 1 0 1 22.5 -2.07697248729342 463.758090110493
134 5 117 1 0 1 22.5 12.3265550093552 470.749451032532
135 11 102 1 0 2 12.5 25.9149466960347 420.677945548892
136 5 64 1 0 2 20 -0.89493350476055 366.78504374784
137 1 113 1 0 2 22.5 27.9235084654774 423.945388620894
138 8 85 1 0 1 20 -6.56250720817461 422.191748173342
139 13 110 1 0 1 17.5 23.9641553301366 469.194865852125
140 11 63 1 0 2 20 10.9164923380228 403.446597644056
141 17 86 1 0 2 10 8.70038075092282 389.789063190791
142 2 53 1 0 2 15 -0.650188781240096 382.380148544284
143 14 111 1 0 1 17.5 14.9078721859333 455.045825684499
144 5 31 1 0 1 25 -7.5057483484479 411.297200019944
145 14 40 1 0 1 22.5 -11.174142761814 425.421237072483
146 7 82 1 0 2 15 23.5665953881535 407.082440565842
147 8 81 1 0 2 10 -24.91549300045 370.649946469316
148 3 99 1 0 1 10 -10.292385302728 415.68504653728
149 6 50 1 0 1 22.5 3.98233905141539 399.329492793199
150 3 104 1 0 2 22.5 -3.98774837591092 326.724913294327
151 1 43 1 0 2 17.5 28.7566515001069 380.877379502812
152 13 97 1 0 2 25 -19.0883930232012 377.503883636115
153 14 66 1 0 1 12.5 -7.43078760861487 437.486179823137
154 1 74 1 0 1 25 9.95715682988993 434.770827258353
155 3 77 1 0 2 25 12.2190909946323 377.082276136471
156 6 24 1 0 1 20 23.1372025713039 485.566935294027
157 3 27 1 0 1 15 17.6543122625983 461.982966312286
158 2 88 1 0 2 22.5 2.02483061392395 395.576055178674
159 15 101 1 0 1 25 6.23785485159818 439.057919018403
160 5 62 1 0 2 25 -12.5738757258933 367.315458399358
161 3 118 1 0 2 20 -3.64881910037254 403.925297410526
162 14 45 1 0 1 25 2.5900358494311 406.624613500497
163 20 100 1 0 1 22.5 -15.8520675322699 398.292016416047
164 7 60 1 0 2 12.5 3.9190092233269 361.302583536188
165 11 69 1 0 2 20 19.9413003337227 400.689131000993
166 19 30 1 0 2 22.5 2.11465127871153 424.732384530509
167 4 41 1 0 2 25 1.6362361616684 404.372289215362
168 13 57 1 0 1 25 -21.0624987098332 382.987388601175
169 11 47 1 0 2 10 0.450575436968477 361.698417077552
170 7 48 1 0 2 25 44.8065204974076 457.704830565737
171 17 115 1 0 2 20 -21.2861832135639 377.17897576013
172 13 107 1 0 1 17.5 -9.81402392182857 431.77928600614
173 2 105 1 0 2 15 26.0154962201919 410.507044855655
174 6 25 1 0 2 20 15.1363268155469 416.260949535016
175 11 73 1 0 1 12.5 8.47807320173421 450.653511733827
176 10 95 1 0 1 20 -8.57505198854932 392.046695579079
177 1 116 1 0 2 17.5 27.1769544730333 425.004418616734
178 17 114 1 0 1 17.5 -20.5507106226723 406.570808722726
179 16 55 1 0 1 15 24.0257961014757 463.192675342024
180 16 26 1 0 2 25 -14.3498325710547 346.873252728025
181 4 109 1 0 2 15 1.95328921705242 334.210861469971
182 9 61 1 0 1 10 3.49739306650495 426.200353852572
183 3 106 1 0 2 15 -3.56414036821965 362.474280412004
184 18 87 1 0 1 25 -7.12282875013126 440.709994206976
185 2 54 1 0 2 17.5 -16.7139367773658 356.507572324704
186 1 42 1 0 2 12.5 6.54685844556058 382.706160372459
187 8 71 1 0 1 12.5 -28.4822274781064 384.132202475275
188 4 35 1 0 2 17.5 8.73636721185732 408.639357690558
189 19 58 1 0 1 17.5 8.09231973543293 429.556139413556
190 18 98 1 0 1 15 -21.4527330375195 398.57729401334
191 2 22 1 0 1 25 -12.2623976484108 409.835528380652
192 7 93 1 0 1 17.5 19.8139581961821 439.210378918884
193 13 34 1 0 1 10 20.6451916419973 464.587038774174
194 12 119 1 0 1 25 0.760291834711901 451.416901716072
195 1 94 1 0 2 22.5 19.618777768683 415.476935487763
196 17 92 1 0 2 25 -2.4474919367161 343.339255219768
197 9 112 1 0 2 12.5 36.0802380457379 378.14724584261
198 13 51 1 0 2 17.5 13.1658305508126 416.292955992913
199 4 89 1 0 1 25 1.36674005330821 447.725555475751
200 2 52 1 0 1 15 1.2182433898579 428.517917375265
201 15 79 1 0 1 20 -31.7794691545558 385.607286846502
202 15 39 1 0 2 17.5 1.2615471242789 380.19056881957
203 15 120 1 0 1 20 1.2337526029704 401.981252297667
204 13 65 1 0 1 12.5 -10.5052499499077 427.90525859577
205 4 80 1 0 1 25 -15.7353195699536 424.937984799923
206 16 32 1 0 2 17.5 3.84179569740442 375.697218110408
207 17 76 1 0 2 20 -1.90958388794779 410.959822345506
208 17 38 1 0 2 20 8.88265438142698 400.739067502694
209 16 70 1 0 1 10 1.95504490709793 465.404591846611
210 11 91 1 0 1 22.5 10.5354139882061 481.360071200393
211 13 96 1 0 1 25 -22.3791750604125 400.409197214743
212 16 59 1 0 1 12.5 -5.00006971065774 390.546737520141
213 9 90 1 0 2 17.5 2.5810534976841 386.464712234697
214 19 28 1 0 2 22.5 -1.08955964576973 357.586034830429
215 2 103 1 0 1 15 0.55056796714443 440.150526696069
216 15 23 1 0 2 12.5 -11.1763383561653 373.350133030692
217 14 72 1 0 2 10 -7.22561626071687 369.191532649189
218 20 33 1 0 2 22.5 -24.0323606583033 360.640481142084
219 3 49 1 0 1 20 -16.4006638791118 411.2839017717
220 11 83 1 0 1 10 0.716480916612015 448.588390844264
221 18 52 2 0 1 12.5 7.28501497040098 450.59873075978
222 4 202 2 0 1 17.5 -0.522847120295467 413.280134478553
223 3 166 2 0 2 12.5 -16.7557289106362 370.158045369033
224 139 213 2 0 2 25 23.7424752659665 395.857206915631
225 210 23 2 0 1 20 14.2670555459396 472.513825055848
226 12 80 2 0 1 25 22.0226002767129 441.133902546451
227 6 76 2 0 2 25 22.9765369044875 434.323475167913
228 4 93 2 0 1 12.5 3.84870824669394 445.658157489933
229 11 62 2 0 2 17.5 13.8245531169381 389.250619011759
230 20 165 2 0 2 12.5 18.1946749750885 379.657280749257
231 9 22 2 0 2 12.5 -2.99673307095635 407.200045658145
232 14 104 2 0 2 22.5 -15.2300512971243 369.060691062447
233 16 58 2 0 2 15 15.6240715247744 423.624000335593
234 19 60 2 0 2 22.5 13.1030408377161 408.76585252301
235 17 94 2 0 2 10 -17.2490355628243 377.07140312563
236 8 95 2 0 1 25 -6.47748146238377 453.722754142907
237 2 70 2 0 1 17.5 -5.15558712785997 463.164101540821
238 156 90 2 0 1 17.5 16.7475431912244 474.348730185435
239 19 100 2 0 1 17.5 -9.0993996688911 472.473453078666
240 4 113 2 0 1 20 -6.38462113826002 429.333889497076
241 15 141 2 0 2 22.5 -15.8898497211886 309.41482463846
242 139 67 2 0 1 20 27.6332131746347 497.454523105399
243 9 61 2 0 2 12.5 -2.67910368190241 380.888580134012
244 10 54 2 0 2 10 -6.79264105016618 410.540340257767
245 4 99 2 0 1 22.5 -23.8466140810484 456.783394368595
246 134 174 2 0 1 22.5 24.3613265059327 466.447130302565
247 6 50 2 0 1 25 2.4134080193802 471.224124662163
248 16 114 2 0 2 15 -21.4077633410517 387.225972922853
249 5 89 2 0 1 15 3.21960230681657 423.125742300289
250 10 111 2 0 2 20 22.6148073311435 397.664905759057
251 134 82 2 0 2 25 -8.31846964634628 381.315233878037
252 12 35 2 0 2 20 12.0164828278028 403.537018472528
253 20 112 2 0 2 10 32.6152188566345 400.901296300709
254 13 65 2 0 1 22.5 21.4649487067053 487.814851829462
255 14 137 2 0 1 17.5 4.32854921634797 435.915916681205
256 20 30 2 0 2 15 -23.454215352341 329.395943831135
257 15 55 2 0 2 25 -1.98875058021594 355.508328043341
258 210 103 2 0 2 12.5 5.8381643548005 394.242232552794
259 16 87 2 0 2 15 10.8064988677059 388.249256055434
260 209 45 2 0 1 15 12.0388992231491 448.542825731134
261 9 43 2 0 2 17.5 14.8617826858643 412.398465863819
262 6 28 2 0 1 25 -0.679474991024565 472.835749878399
263 210 34 2 0 1 25 8.88711411068526 461.510905059762
264 15 188 2 0 2 22.5 -21.9609904785817 378.615791871962
265 15 51 2 0 2 17.5 6.87767923109519 383.193105854545
266 5 56 2 0 1 12.5 25.0735551511136 471.058787066303
267 16 40 2 0 2 15 10.1347087625784 451.279481717853
268 16 36 2 0 1 12.5 12.0601952363544 436.428698964477
269 16 119 2 0 1 12.5 -4.46443133581639 406.144238882472
270 12 107 2 0 2 22.5 0.949480708404479 378.368717209101
271 17 110 2 0 1 25 4.5831535385455 429.364843002972
272 16 41 2 0 1 22.5 -6.61794056554717 407.095475156674
273 14 135 2 0 2 22.5 20.1144803945275 460.789235801082
274 209 151 2 0 1 25 12.8859122271698 463.222898243211
275 14 207 2 0 1 20 -17.9977753164382 445.54984309134
276 3 140 2 0 1 12.5 5.56910892091782 419.976895861505
277 11 116 2 0 1 25 21.9106277765913 445.706044483887
278 19 25 2 0 1 20 -6.71725017028084 433.949280199299
279 12 32 2 0 1 25 7.79243675362105 404.767207958988
280 17 81 2 0 1 22.5 -13.8019050807777 471.059032976636
281 9 63 2 0 1 10 8.46062813401007 437.236822476213
282 139 142 2 0 2 15 0.969094608787145 357.728122003992
283 134 105 2 0 2 22.5 -0.547490542844164 386.324740715826
284 8 47 2 0 1 10 -9.26384702155374 439.209500416966
285 17 33 2 0 1 20 -28.806515541057 426.94985035572
286 16 128 2 0 1 15 -11.192936951905 414.927617810581
287 12 74 2 0 1 15 -0.0407757723890061 413.338429695538
288 9 69 2 0 2 10 20.078593568429 444.288381456021
289 1 170 2 0 1 22.5 40.0526615673422 455.116888210046
290 12 38 2 0 1 12.5 3.25603633514794 455.925044227305
291 13 161 2 0 1 22.5 -4.84715102381795 427.659599607087
292 12 129 2 0 2 17.5 4.71488206647424 399.304929932568
293 18 73 2 0 1 12.5 0.106607362233365 420.097385924576
294 210 64 2 0 2 15 19.3056535942332 413.20047458272
295 7 49 2 0 1 25 2.25110492638421 451.133678587785
296 11 115 2 0 2 17.5 13.1124093932515 396.541487510613
297 16 72 2 0 1 22.5 4.77255301690331 449.568918755142
298 13 173 2 0 2 17.5 24.7204577400976 344.174356750781
299 139 29 2 0 2 15 13.5061226758401 406.119624922489
300 13 146 2 0 1 20 9.71606610564392 429.073595940652
301 8 167 2 0 2 22.5 -13.5018706629523 381.651388661693
302 14 75 2 0 2 22.5 -30.1405421125953 402.536426260847
303 7 195 2 0 1 25 7.12203388503629 452.574573501846
304 16 177 2 0 1 17.5 13.5056211814238 428.932741731037
305 17 68 2 0 2 12.5 -9.13716629262548 393.300155039799
306 20 117 2 0 1 25 17.785724159171 417.991313501294
307 3 66 2 0 1 17.5 -11.732733192095 431.396650376786
308 11 108 2 0 2 12.5 10.7976190685744 379.861727870804
309 20 86 2 0 2 22.5 19.353878876592 409.546154811173
310 9 27 2 0 1 10 -16.2835316104249 435.618515257068
311 11 198 2 0 2 17.5 25.6838271251702 389.097561734733
312 209 42 2 0 2 25 12.3020373552849 415.54080428134
313 156 102 2 0 1 17.5 19.1565483206669 463.553999014449
314 20 48 2 0 2 25 9.60112007880863 371.551902587865
315 8 186 2 0 1 15 -1.15408435946423 420.949698593261
316 17 88 2 0 2 25 -34.4169116370799 365.596450259606
317 8 31 2 0 2 22.5 -16.8007756713007 363.552683143467
318 14 109 2 0 1 22.5 2.88633674584008 430.870228606007
319 5 208 2 0 1 17.5 11.6177843617148 434.326723253649
320 16 120 2 0 2 25 14.6684904351918 431.223404354793
321 3 79 2 0 2 17.5 8.66633069350481 439.290072651827
322 5 101 2 0 2 10 12.1848754017482 433.267984142804
323 9 78 2 0 2 25 5.80573704877647 428.422100694941
324 15 84 2 0 2 25 -12.1370915031114 389.046605356948
325 14 98 2 0 2 10 -28.8506524650492 325.550741445699
326 134 118 2 0 1 22.5 8.71431994762895 425.139416660422
327 16 92 2 0 1 17.5 -24.3384286640414 452.662304300145
328 7 158 2 0 2 25 14.4121298101894 423.826420953409
329 3 46 2 0 1 22.5 13.3645929671994 441.532662593556
330 3 71 2 0 1 15 -4.53003685788245 392.415212173945
331 14 97 2 0 1 17.5 2.55591264932331 416.039538618262
332 17 37 2 0 1 12.5 14.4426759658972 419.259705511792
333 10 83 2 0 1 20 19.0508644437354 464.321053435317
334 7 198 3 0 2 10 9.13398678745501 416.165481776682
335 1 207 3 0 1 15 28.0764998191768 454.212724991156
336 5 74 3 0 2 22.5 -3.62312933088584 381.015032194292
337 20 49 3 0 2 12.5 -18.5477864099926 373.155043789652
338 12 302 3 0 2 22.5 -7.86103617726884 398.205735137003
339 134 137 3 0 1 15 40.7010980614219 489.548539025253
340 15 41 3 0 1 22.5 -10.5419115542135 419.263688704134
341 17 165 3 0 2 15 15.0108669577091 369.182077937837
342 2 177 3 0 1 17.5 17.9797717194633 448.877399804681
343 8 109 3 0 2 10 -12.4136965378843 347.226004186076
344 156 48 3 0 1 22.5 -9.39405312285473 422.186579276767
345 15 151 3 0 1 25 7.70197369183801 452.358670405147
346 242 47 3 0 2 15 35.2085986329207 408.595850054022
347 239 62 3 0 2 17.5 -0.385123372914421 410.799577088292
348 156 72 3 0 2 12.5 3.03574688235877 361.336870320308
349 4 94 3 0 2 22.5 -8.8893247827113 327.281746827061
350 225 92 3 0 1 20 -7.49904438144289 380.746944393461
351 12 146 3 0 2 10 4.86920467891041 386.42475720676
352 17 294 3 0 1 12.5 1.21863167437701 425.894767563973
353 254 111 3 0 1 25 10.311235103709 458.168907941759
354 254 321 3 0 1 15 11.1664617706734 444.134912421098
355 239 231 3 0 2 10 -9.07553748628196 391.822150786393
356 17 119 3 0 2 12.5 -21.243694985824 370.621569472584
357 9 267 3 0 1 17.5 9.69619146071228 426.419851080706
358 3 22 3 0 1 25 13.4159999788313 470.46787303486
359 209 32 3 0 2 10 27.2035895239138 413.146026620139
360 2 76 3 0 2 20 -9.36872670989153 422.481284182877
361 10 113 3 0 1 15 -22.9959027898085 403.124652227655
362 17 28 3 0 1 22.5 0.85318053481148 425.140287276643
363 5 101 3 0 1 10 7.27371065677479 447.340956383774
364 10 323 3 0 2 10 12.592886612329 371.717325157214
365 6 244 3 0 2 15 17.4218400268453 424.285996938439
366 239 224 3 0 1 17.5 -2.18367481236858 449.390138145843
367 13 166 3 0 1 10 -1.10659675014827 471.449812356986
368 7 54 3 0 1 17.5 34.8956508455566 481.291165524325
369 254 90 3 0 1 20 10.1244872298336 461.317359131417
370 6 84 3 0 2 10 -6.23438405949899 349.642180377627
371 18 68 3 0 1 22.5 -16.97464792096 364.827362719254
372 210 296 3 0 1 20 11.9212593530199 398.967802405355
373 13 33 3 0.125 2 10 -19.0699121395067 388.853333467501
374 262 328 3 0 1 12.5 19.5076943614507 403.609278398324
375 2 82 3 0 1 10 7.25938067284117 433.16146404353
376 134 63 3 0 2 17.5 31.652401917822 393.511800600561
377 262 93 3 0 1 10 3.15010809661378 430.899208464285
378 16 186 3 0 1 10 -6.12205483192596 450.066065964744
379 254 309 3 0 1 10 6.07143568525776 415.026265941563
380 9 288 3 0 2 25 9.60883673020895 439.645977661795
381 1 158 3 0.25 2 15 16.7241041479416 320.292520460892
382 16 208 3 0 2 10 3.75448676223379 393.464308752316
383 10 252 3 0 2 20 9.63423485380259 377.446634234567
384 8 37 3 0 1 20 -3.35091584049511 430.619366628308
385 210 75 3 0 2 25 -11.5487091456249 399.737641816785
386 254 202 3 0 2 15 20.0281432337579 379.689496624745
387 8 35 3 0 2 10 18.9836568780713 401.812886179507
388 1 65 3 0 1 12.5 5.9952609632815 445.103561884707
389 209 161 3 0 1 10 -9.28102788515355 412.862268327436
390 10 99 3 0 1 25 -18.8102927252924 444.176744724966
391 9 253 3 0 1 17.5 36.6650149331372 420.946555689853
392 139 112 3 0 2 22.5 35.0205109500896 398.006595352239
393 16 233 3 0 1 25 10.4105465431884 411.321585368535
394 156 56 3 0.25 1 22.5 13.3501382679876 498.165913178643
395 15 117 3 0 2 17.5 2.96787478276344 414.920141493113
396 5 61 3 0 2 10 21.3493637568076 403.891899314732
397 238 234 3 0 1 15 13.8861150863165 441.235822138149
398 3 227 3 0 2 12.5 20.8629011042406 397.090632266452
399 7 188 3 0 2 25 21.1446759784257 375.525561391773
400 17 79 3 0 1 15 -2.3897114994872 430.168479423518
401 262 97 3 0 1 15 8.18686175834412 450.512540052503
402 254 195 3 0 1 22.5 14.1213740214898 472.526661359431
403 254 320 3 0 2 15 16.2419271914794 403.91374764202
404 209 174 3 0 2 15 -2.97743216299107 377.982694697514
405 209 292 3 0 1 12.5 9.25448721208307 434.421092850597
406 225 102 3 0 2 22.5 6.40424287528321 395.512626404178
407 238 95 3 0 2 15 25.719980358136 376.891401171156
408 17 81 3 0 1 25 -14.373804777425 434.352685182526
409 4 36 3 0 1 20 19.389394704269 470.720270922351
410 7 129 3 0 1 15 30.1002865678209 494.328571361532
411 9 30 3 0 2 12.5 14.4185447504482 344.376940851994
412 210 34 3 0 1 25 15.6584283201385 471.328704441604
413 16 312 3 0 2 12.5 6.0308680439846 397.525224485524
414 238 261 3 0.125 2 17.5 7.99320831034958 430.04583631079
415 139 322 3 0 1 17.5 9.88541833517408 435.483049937574
416 9 88 3 0 2 12.5 6.8514945239506 343.731490845009
417 12 40 3 0 2 25 6.77031276227673 403.623683254641
418 210 83 3 0 1 17.5 -12.4724134221453 410.496057467974
419 8 67 3 0 2 10 0.755992864552784 384.168572648714
420 156 120 3 0 2 20 29.2694915025565 401.517960365353
421 262 141 3 0 2 17.5 15.7831472635732 377.710058915717
422 3 140 3 0 2 25 13.2235975447814 392.1748975683
423 12 66 3 0 1 22.5 0.674777206929823 432.774912653308
424 239 104 3 0 1 17.5 -13.2571395367414 409.586347020619
425 18 250 3 0 2 15 -2.07491434372542 390.418945933734
426 1 273 3 0 2 10 20.452653880631 427.180490447116
427 13 64 3 0 2 17.5 -15.8007300693335 349.252665010774
428 14 173 3 0 2 22.5 1.62624868781552 364.417269535179
429 209 128 3 0 1 20 8.27899457106608 421.774035618195
430 225 406 4 0 2 10 33.7672348791401 376.691907851192
431 134 88 4 0.25 1 22.5 -9.09264278303973 443.462815408108
432 262 320 4 0 2 12.5 -4.05384031646921 352.464826265505
433 339 151 4 0 2 12.5 21.1328755004498 394.784143898807
434 8 414 4 0.0625 1 22.5 4.33690948698097 420.625351378819
435 16 146 4 0 1 22.5 19.1915768799865 440.771589098842
436 12 403 4 0 1 15 11.3802505143753 491.887653551754
437 5 102 4 0 2 17.5 16.8091064870251 405.284113298956
438 4 208 4 0 1 20 14.2001769990849 425.111418544822
439 4 101 4 0 1 20 3.06339154882327 450.834032967919
440 368 140 4 0 1 17.5 37.596150244183 465.253044599652
441 238 113 4 0 1 12.5 -24.3388567928136 386.513768359073
442 225 68 4 0 1 17.5 16.6861357894361 470.827858849841
443 394 417 4 0 2 12.5 9.54278024649632 364.831137307729
444 238 312 4 0 2 10 11.0118964255032 394.717554367075
445 5 83 4 0 2 25 13.2859370182963 424.279773621559
446 17 195 4 0 1 25 21.2989843216914 465.63042070357
447 18 321 4 0 2 17.5 15.8184522085636 409.560873496584
448 20 97 4 0 1 17.5 3.17321332341433 421.914347434329
449 134 66 4 0 1 25 20.6784393201101 441.360898726992
450 10 22 4 0 2 20 -9.08057087650072 345.074976814151
451 13 227 4 0 1 10 0.380506656338321 402.838784438906
452 134 92 4 0 2 15 -7.5282783732126 383.218681581961
453 368 347 4 0 2 20 12.8022634528335 409.821638654121
454 7 426 4 0 1 17.5 23.1822765657393 451.037287082122
455 17 346 4 0 1 15 13.9843356749418 406.538382875471
456 5 90 4 0 2 10 14.1935540703055 416.978880288247
457 239 202 4 0 1 10 -12.1706306909812 382.278884505378
458 14 233 4 0 2 22.5 7.3270970518899 397.4930505504
459 239 34 4 0 2 12.5 -12.8755447549872 392.617340818298
460 11 250 4 0 2 12.5 31.8153073545775 370.25591507393
461 242 95 4 0 1 12.5 18.8770730767133 442.818900536691
462 3 309 4 0 2 20 2.75739951183102 430.055489476708
463 18 62 4 0 2 15 7.17468984708192 348.421280007901
464 20 398 4 0 1 10 5.72085403920748 441.630743876753
465 16 84 4 0 2 15 -1.11970238577021 393.855363919221
466 239 294 4 0 1 25 -3.45900639542098 442.998347692296
467 7 28 4 0 2 22.5 31.1371254834513 442.531833660961
468 209 61 4 0 2 17.5 -3.71651625049592 350.034268361193
469 254 174 4 0 2 15 16.5927880922763 402.001764673255
470 16 207 4 0 1 25 -20.2810083841241 457.613411610543
471 262 94 4 0 1 22.5 6.94185127388113 404.956898620974
472 368 129 4 0 2 12.5 35.3971428042243 383.940376303723
473 12 413 4 0 2 22.5 12.0162241126263 397.786053156537
474 5 141 4 0 2 25 7.49120419885912 374.722262182381
475 15 32 4 0 1 12.5 -1.06165135893563 464.278453139149
476 17 36 4 0 2 12.5 14.3818444868325 413.199845988368
477 394 37 4 0 2 22.5 10.6373577810025 376.312219752411
478 262 63 4 0 2 20 16.3972805055073 397.639651149187
479 242 292 4 0 2 10 12.1888079344418 400.889181469878
480 139 273 4 0 1 15 30.7555385907097 444.256712073814
481 20 49 4 0 2 10 -42.1847048684675 298.5426995471
482 4 382 4 0 1 25 17.1141577550846 485.374032550909
483 239 252 4 0 2 12.5 -0.907499925977175 394.839999601177
484 13 177 4 0 2 22.5 12.0609659419697 424.845068632205
